serverLabel,mid,cpu,memory
xLondon.csv,1634,0.5,0.4995
xLondon.csv,8867,0.5,0.4995
Washington-WDC01.csv,1391,0.5,0.4995
USWestOregon.csv,3074,0.5,0.4995
USWestOregon.csv,785,0.5,0.4995
USWestNCalifornia.csv,9930,0.5,0.4995
USEastOhio.csv,5558,0.5,0.2493
USEastOhio.csv,4012,0.5,0.2493
USEastNViginia.csv,9324,0.5,0.4995
us-west1.csv,12067,1,1
us-west1.csv,2950,0.5,0.4995
us-phoenix.csv,915,0.5,0.4995
us-phoenix.csv,11899,1,1
us-east4.csv,5993,0.5,0.749
us-east1.csv,7331,0.5,0.4995
us-east1.csv,7416,0.5,0.4995
Us-east1 2.csv,8298,0.5,0.4995
us-central1.csv,7312,0.5,0.4995
Us-central1 2.csv,6162,0.5,0.749
us-ashburn.csv,1722,0.5,0.4995
us-ashburn.csv,11781,1,1
uk-london.csv,362,0.5,0.4995
uk-london.csv,10480,0.5,0.4995
Toronto-TOR01.csv,4680,0.5,0.4995
Toronto-TOR01.csv,5295,0.5,0.2493
Tokyo-TOK02.csv,10050,0.5,0.2493
Tokyo-TOK02.csv,6448,0.5,0.4995
Sydney.csv,6680,0.5,0.2493
Sydney.csv,1147,0.5,0.2493
Sydney-SYD01.csv,559,0.5,0.4995
Sydney-SYD01.csv,6008,0.5,0.749
SouthAmericaSaoPaola.csv,8944,0.5,0.4995
SouthAmericaSaoPaola.csv,5057,0.5,0.749
southamerica-east1.csv,2161,0.5,0.4995
southamerica-east1.csv,5992,0.5,0.749
Singapore-SNG01.csv,5038,0.5,0.2493
Singapore-SNG01.csv,5270,0.5,0.4995
Seoul-SEO01.csv,3548,0.5,0.2493
Seoul-SEO01.csv,11694,1,1
Seattle-SEA01.csv,4853,0.5,0.749
Seattle-SEA01.csv,200,0.5,0.4995
SaoPaola-SAO01.csv,8053,0.5,0.1241
SaoPaola-SAO01.csv,5850,0.5,0.2493
SanJose-SJC01.csv,6951,0.5,0.4995
Queretaro-MEX01.csv,70,0.5,0.4995
Queretaro-MEX01.csv,9184,0.5,0.2493
Paris-PAR01.csv,10628,0.5,0.4995
Paris-PAR01.csv,11926,1,1
Oslo-OSL01.csv,9024,0.5,0.4995
Oslo-OSL01.csv,11100,0.5,0.4995
NorthVirginia.csv,11677,1,1
NorthVirginia.csv,6937,0.5,0.2493
northamerica-northeast1.csv,11497,0.5,0.4995
northamerica-northeast1.csv,9133,0.5,0.2493
Montreal-MON01.csv,4429,0.5,0.4995
Montreal-MON01.csv,4048,0.5,0.2493
Milan-MIL01.csv,9310,0.5,0.4995
Milan-MIL01.csv,11066,0.5,0.4995
Melbourne-MEL01.csv,3939,0.5,0.2493
Melbourne-MEL01.csv,4052,0.5,0.2493
London-Lon02.csv,3912,0.5,0.2493
London-Lon02.csv,12542,0.5,0.4995
Houston-HOU2.csv,4144,0.5,0.2493
Houston-HOU2.csv,4193,0.5,0.2493
